Classifier,Feature,Accuracy,Balanced Accuracy,F1 Score,Accuracy_std,Balanced_Accuracy_std,F1_Score_std
decision_tree,rel_dim,1.0,1.0,1.0,,,
decision_tree,rel_dim_block,1.0,1.0,1.0,,,
decision_tree,simple_rel,0.9583333333333334,0.5,0.0,,,
logistic_regression,rel_dim,0.9444444444444444,0.4927536231884058,0.0,,,
logistic_regression,rel_dim_block,1.0,1.0,1.0,,,
logistic_regression,simple_rel,0.9583333333333334,0.5,0.0,,,
mlp,rel_dim,0.991358024691358,0.9246376811594204,0.8914728682170543,,,
mlp,rel_dim_block,1.0,1.0,1.0,,,
mlp,simple_rel,0.9583333333333334,0.5,0.0,,,
naive_bayes,rel_dim,0.8757716049382716,0.9351851851851852,0.4014869888475836,,,
naive_bayes,rel_dim_block,0.875,0.934782608695652,0.4,,,
naive_bayes,simple_rel,0.875,0.934782608695652,0.4,,,
random_forest,rel_dim,0.9998971193415638,0.9987654320987654,0.9987639060568604,,,
random_forest,rel_dim_block,1.0,1.0,1.0,,,
random_forest,simple_rel,0.9583333333333334,0.5,0.0,,,
svm,rel_dim,1.0,1.0,1.0,,,
svm,rel_dim_block,1.0,1.0,1.0,,,
svm,simple_rel,0.5573559670781894,0.7690552871712292,0.1584352078239608,,,
